STATE_ABBREV,COUNTY_NAME,Dem_Percent,Rep_Percent,Dem_VoteCnt,Rep_VoteCnt
GA,Bibb,0.61,0.385,42172,26658
GA,Bleckley,0.222,0.775,1339,4685
GA,Brantley,0.087,0.911,736,7744
GA,Brooks,0.365,0.632,2629,4560
GA,Bryan,0.316,0.679,7779,16738
GA,Bulloch,0.353,0.643,11514,20985
GA,Burke,0.451,0.544,4994,6027
GA,Butts,0.272,0.724,3544,9424
GA,Calhoun,0.561,0.438,1153,900
GA,Camden,0.318,0.675,8405,17819
GA,Candler,0.262,0.737,1196,3366
GA,Carroll,0.291,0.703,17634,42536
GA,Catoosa,0.22,0.775,7704,27150
GA,Charlton,0.218,0.779,1007,3607
GA,Chatham,0.586,0.406,82758,57336
GA,Chattahoochee,0.415,0.58,703,982
GA,Chattooga,0.177,0.819,1896,8769
GA,Cherokee,0.301,0.691,48838,112142
GA,Clarke,0.686,0.303,36297,16049
GA,Clay,0.535,0.46,771,663
GA,Clayton,0.843,0.151,94203,16877
GA,Clinch,0.241,0.757,702,2201
GA,Cobb,0.569,0.42,228404,168679
GA,Coffee,0.273,0.725,4295,11388
GA,Colquitt,0.248,0.749,4114,12451
GA,Columbia,0.368,0.624,31624,53657
GA,Cook,0.266,0.73,1956,5374
GA,Coweta,0.327,0.666,28111,57204
GA,Crawford,0.249,0.748,1582,4742
GA,Crisp,0.369,0.628,2993,5099
GA,Dade,0.164,0.83,1343,6804
GA,Dawson,0.171,0.824,3350,16115
GA,Decatur,0.379,0.618,4372,7140
GA,DeKalb,0.819,0.171,299630,62622
GA,Dodge,0.249,0.748,2081,6249
GA,Dooly,0.46,0.537,1921,2243
GA,Dougherty,0.704,0.293,23831,9904
GA,Douglas,0.654,0.339,46240,23996
GA,Early,0.442,0.557,2158,2718
GA,Echols,0.088,0.909,127,1307
GA,Effingham,0.252,0.743,9144,26943
GA,Elbert,0.282,0.715,2700,6860
